,loss,categorical_accuracy,f1_score,val_loss,val_categorical_accuracy,val_f1_score
0,1.4224976301193237,0.34172049164772034,[0.         0.5097919  0.01011236 0.00522496],1.3598499298095703,0.3434920608997345,[0.         0.51134217 0.         0.        ]
1,1.2900795936584473,0.4141448438167572,[0.1114106  0.584157   0.3410922  0.23976946],1.22563898563385,0.4690476059913635,[0.0276873  0.65672255 0.4749628  0.3052373 ]
2,1.1891441345214844,0.48289698362350464,[0.19825819 0.6776503  0.44593146 0.3477721 ],1.1657439470291138,0.5169841051101685,[0.2642857  0.69805986 0.48064518 0.39206126]
3,1.1338841915130615,0.5179190635681152,[0.28928488 0.7182761  0.47197154 0.37396124],1.129294991493225,0.529365062713623,[0.26075783 0.72230655 0.4937429  0.4104324 ]
4,1.0937650203704834,0.5468208193778992,[0.3639124  0.746394   0.4882603  0.40719292],1.0967285633087158,0.5420634746551514,[0.29823494 0.74199134 0.47914582 0.44191617]
5,1.0547579526901245,0.571642279624939,[0.42637092 0.7688745  0.506772   0.42715532],1.0968749523162842,0.5396825671195984,[0.34540057 0.7567303  0.43471462 0.4715523 ]
6,1.0240355730056763,0.5846990942955017,[0.46615353 0.78034145 0.51027054 0.4397463 ],1.0565731525421143,0.565079391002655,[0.34323832 0.75337774 0.5368507  0.36457884]
7,1.0016852617263794,0.5995239615440369,[0.48492065 0.78958786 0.53029245 0.4570997 ],1.0342801809310913,0.5841270089149475,[0.4611187  0.76878375 0.5023025  0.44347826]
8,0.9829296469688416,0.6115607023239136,[0.5068655  0.7961905  0.538995   0.47932416],1.0227603912353516,0.5979365110397339,[0.50487083 0.7790312  0.5306256  0.45028144]
9,0.9672344326972961,0.6193131804466248,[0.5192308  0.80465025 0.5392101  0.4907848 ],1.0046027898788452,0.6019047498703003,[0.47337276 0.7897884  0.53886986 0.4846078 ]
10,0.946417510509491,0.6353621482849121,[0.5417712  0.81400025 0.56352806 0.5049122 ],1.00972318649292,0.6077777743339539,[0.51313627 0.78760636 0.5344652  0.5028419 ]
11,0.9337207078933716,0.6403264403343201,[0.5531424  0.8165296  0.55680686 0.5212229 ],0.9904630184173584,0.6107936501502991,[0.5028958  0.7894621  0.50829947 0.51818186]
12,0.9179859757423401,0.6488269567489624,[0.5641717  0.82747364 0.5610074  0.5308964 ],1.0005130767822266,0.6023809313774109,[0.44071588 0.7933728  0.5457299  0.50167423]
13,0.9053834676742554,0.6580755114555359,[0.57301015 0.8287612  0.58057207 0.5419643 ],0.9715394973754883,0.6209523677825928,[0.49671224 0.7977427  0.5379726  0.5305867 ]
14,0.88856440782547,0.6666439771652222,[0.57881534 0.83634967 0.58525413 0.55879784],0.9764678478240967,0.6241269707679749,[0.51171505 0.8019503  0.5691251  0.5024911 ]
15,0.8745721578598022,0.6774566769599915,[0.59743243 0.84285706 0.59383035 0.5734368 ],0.9819595813751221,0.6217460036277771,[0.51323247 0.79893833 0.5461134  0.50495386]
16,0.8757975101470947,0.6735804080963135,[0.5970149  0.840678   0.591699   0.56377214],0.9858039021492004,0.6142857074737549,[0.48188975 0.79444814 0.50723535 0.533711  ]
17,0.8612951636314392,0.6892213821411133,[0.6175691 0.8479039 0.6087082 0.5869154],0.9676828980445862,0.6271428465843201,[0.48954612 0.79845667 0.56860316 0.5285285 ]
18,0.8535762429237366,0.6892213821411133,[0.6234603 0.8483271 0.6072399 0.5814262],0.9765291213989258,0.626031756401062,[0.49315068 0.8050727  0.5625782  0.5322835 ]
19,0.837905764579773,0.6962257623672485,[0.62191886 0.8581107  0.60938174 0.597395  ],0.9702767729759216,0.623968243598938,[0.4593993 0.7993868 0.5511917 0.5354621]
